,delta_E_seg_GB_i,Fi,Xi,Pi
261,-2.447817407839968,2.6667214571203976e-05,1.0,2.6667214571203976e-05
262,-2.446166094662601,2.694450413072102e-05,1.0,2.694450413072102e-05
263,-2.4445147814852337,2.722236618932563e-05,1.0,2.722236618932563e-05
264,-2.442863468307868,2.7500766793248462e-05,1.0,2.7500766793248462e-05
265,-2.441212155130501,2.7779671792712306e-05,1.0,2.7779671792712306e-05
266,-2.4395608419531345,2.8059046855569172e-05,1.0,2.8059046855569172e-05
267,-2.437909528775768,2.8338857481115517e-05,1.0,2.8338857481115517e-05
268,-2.4362582155984014,2.8619069014078413e-05,1.0,2.8619069014078413e-05
269,-2.4346069024210353,2.889964665876607e-05,1.0,2.889964665876607e-05
270,-2.4329555892436683,2.9180555493375408e-05,1.0,2.9180555493375408e-05
271,-2.4313042760663013,2.946176048444998e-05,1.0,2.946176048444998e-05
272,-2.4296529628889347,2.9743226501480305e-05,1.0,2.9743226501480305e-05
273,-2.428001649711568,3.002491833164056e-05,1.0,3.002491833164056e-05
274,-2.4263503365342016,3.0306800694652668e-05,1.0,3.0306800694652668e-05
275,-2.424699023356835,3.058883825777136e-05,1.0,3.058883825777136e-05
276,-2.4230477101794685,3.0870995650882285e-05,1.0,3.0870995650882285e-05
277,-2.421396397002102,3.1153237481705163e-05,1.0,3.1153237481705163e-05
278,-2.4197450838247354,3.143552835109491e-05,1.0,3.143552835109491e-05
279,-2.418093770647369,3.1717832868432026e-05,1.0,3.1717832868432026e-05
280,-2.4164424574700023,3.200011566709505e-05,1.0,3.200011566709505e-05
281,-2.414791144292636,3.22823414200068e-05,1.0,3.22823414200068e-05
282,-2.4131398311152688,3.2564474855246346e-05,1.0,3.2564474855246346e-05
283,-2.4114885179379018,3.2846480771718555e-05,1.0,3.2846480771718555e-05
284,-2.409837204760536,3.312832405487382e-05,1.0,3.312832405487382e-05
285,-2.4081858915831686,3.340996969246864e-05,1.0,3.340996969246864e-05
286,-2.4065345784058025,3.36913827903598e-05,1.0,3.36913827903598e-05
287,-2.404883265228436,3.397252858832359e-05,1.0,3.397252858832359e-05
288,-2.403231952051069,3.4253372475892014e-05,1.0,3.4253372475892014e-05
289,-2.4015806388737033,3.4533880008197493e-05,1.0,3.4533880008197493e-05
290,-2.399929325696336,3.4814016921818184e-05,1.0,3.4814016921818184e-05
291,-2.3982780125189693,3.5093749150615224e-05,1.0,3.5093749150615224e-05
292,-2.3966266993416028,3.5373042841554457e-05,1.0,3.5373042841554457e-05
293,-2.3949753861642358,3.56518643705035e-05,1.0,3.56518643705035e-05
294,-2.3933240729868697,3.593018035799654e-05,1.0,3.593018035799654e-05
295,-2.391672759809503,3.6207957684958646e-05,1.0,3.6207957684958646e-05
296,-2.390021446632137,3.6485163508381314e-05,1.0,3.6485163508381314e-05
297,-2.38837013345477,3.676176527694117e-05,1.0,3.676176527694117e-05
298,-2.3867188202774035,3.7037730746554025e-05,1.0,3.7037730746554025e-05
299,-2.385067507100037,3.731302799585586e-05,1.0,3.731302799585586e-05
300,-2.3834161939226703,3.75876254416031e-05,1.0,3.75876254416031e-05
301,-2.381764880745304,3.786149185398432e-05,1.0,3.786149185398432e-05
302,-2.3801135675679372,3.813459637183491e-05,1.0,3.813459637183491e-05
303,-2.3784622543905702,3.840690851774833e-05,1.0,3.840690851774833e-05
304,-2.376810941213204,3.867839821307447e-05,1.0,3.867839821307447e-05
305,-2.3751596280358367,3.894903579279898e-05,1.0,3.894903579279898e-05
306,-2.3735083148584706,3.92187920202951e-05,1.0,3.92187920202951e-05
307,-2.371857001681104,3.948763810194119e-05,1.0,3.948763810194119e-05
308,-2.370205688503737,3.9755545701596034e-05,1.0,3.9755545701596034e-05
309,-2.3685543753263705,4.002248695492523e-05,1.0,4.002248695492523e-05
310,-2.366903062149004,4.028843448357064e-05,1.0,4.028843448357064e-05
311,-2.3652517489716374,4.0553361409157175e-05,1.0,4.0553361409157175e-05
312,-2.363600435794271,4.0817241367128553e-05,1.0,4.0817241367128553e-05
313,-2.3619491226169043,4.108004852040589e-05,1.0,4.108004852040589e-05
314,-2.3602978094395377,4.134175757286251e-05,1.0,4.134175757286251e-05
315,-2.358646496262171,4.160234378260785e-05,1.0,4.160234378260785e-05
316,-2.3569951830848046,4.186178297507447e-05,1.0,4.186178297507447e-05
317,-2.355343869907438,4.212005155590135e-05,1.0,4.212005155590135e-05
318,-2.3536925567300715,4.2377126523607466e-05,1.0,4.2377126523607466e-05
319,-2.352041243552705,4.2632985482049495e-05,1.0,4.2632985482049495e-05
320,-2.3503899303753384,4.2887606652657536e-05,1.0,4.2887606652657536e-05
321,-2.3487386171979714,4.314096888644303e-05,1.0,4.314096888644303e-05
322,-2.3470873040206053,4.3393051675772964e-05,1.0,4.3393051675772964e-05
323,-2.3454359908432383,4.364383516590533e-05,1.0,4.364383516590533e-05
324,-2.343784677665872,4.389330016627956e-05,1.0,4.389330016627956e-05
325,-2.3421333644885047,4.4141428161556987e-05,1.0,4.4141428161556987e-05
326,-2.340482051311138,4.43882013224064e-05,1.0,4.43882013224064e-05
327,-2.338830738133772,4.463360251602897e-05,1.0,4.463360251602897e-05
328,-2.337179424956405,4.487761531641844e-05,1.0,4.487761531641844e-05
329,-2.3355281117790385,4.512022401435074e-05,1.0,4.512022401435074e-05
330,-2.333876798601672,4.5361413627099824e-05,1.0,4.5361413627099824e-05
331,-2.3322254854243054,4.560116990787362e-05,1.0,4.560116990787362e-05
332,-2.330574172246939,4.583947935496705e-05,1.0,4.583947935496705e-05
333,-2.3289228590695723,4.607632922062708e-05,1.0,4.607632922062708e-05
334,-2.3272715458922058,4.631170751962617e-05,1.0,4.631170751962617e-05
335,-2.325620232714839,4.654560303754002e-05,1.0,4.654560303754002e-05
336,-2.3239689195374726,4.6778005338725845e-05,1.0,4.6778005338725845e-05
337,-2.322317606360106,4.700890477399751e-05,1.0,4.700890477399751e-05
338,-2.3206662931827395,4.723829248799411e-05,1.0,4.723829248799411e-05
339,-2.319014980005373,4.74661604262385e-05,1.0,4.74661604262385e-05
340,-2.317363666828006,4.769250134188277e-05,1.0,4.769250134188277e-05
341,-2.3157123536506394,4.791730880213699e-05,1.0,4.791730880213699e-05
342,-2.314061040473273,4.814057719437955e-05,1.0,4.814057719437955e-05
343,-2.3124097272959063,4.836230173194455e-05,1.0,4.836230173194455e-05
344,-2.31075841411854,4.85824784595851e-05,1.0,4.85824784595851e-05
345,-2.309107100941173,4.8801104258609134e-05,1.0,4.8801104258609134e-05
346,-2.3074557877638067,4.901817685168552e-05,1.0,4.901817685168552e-05
347,-2.30580447458644,4.9233694807318655e-05,1.0,4.9233694807318655e-05
348,-2.304153161409073,4.9447657543988235e-05,1.0,4.9447657543988235e-05
349,-2.3025018482317066,4.9660065333954056e-05,1.0,4.9660065333954056e-05
350,-2.3008505350543396,4.987091930672206e-05,1.0,4.987091930672206e-05
