Tilt,Normal,DE_hat_b,PR_hat_GB,E_hat_b
110,141111,0.03365546153846154,0.000641025641025641,0.034600900477692105
110,1433,0.08054067434210525,0.0010964912280701754,0.05205322442785477
110,1499,0.03540003191489362,0.00044326241134751767,0.03434429659131702
110,1511,0.0626615963718821,0.0011337868480725624,0.03320779035954056
110,151111,0.06030348960302457,0.000945179584120983,0.030762234160669352
110,151313,0.04781199722991689,0.0013850415512465376,0.02475817605646971
110,151414,0.03495453287197232,0.0008650519031141869,0.03619482911891309
110,1522,0.02504653955007257,0.000362844702467344,0.02652573504192033
110,1588,0.02041912142857143,0.00021645021645021645,0.018990124302883066
110,161111,0.026711346530920062,0.0003770739064856711,0.02647220664056598
110,161313,0.05321735326086957,0.0018115942028985507,0.053071377464822454
110,161515,0.03568008968253968,0.0007936507936507939,0.035786315674281394
110,1633,0.06451287069767443,0.0009302325581395349,0.03903478577314214
110,1655,0.06376657067669174,0.0007518796992481201,0.05851557766655962
110,171010,0.02104929807162535,0.0002754820936639118,0.0174126929071968
110,1711,0.03958144875346261,0.0013850415512465374,0.02168671275017628
110,171111,0.04483803676470588,0.00045955882352941176,0.019293473477889206
110,171212,0.026308653957879447,0.00036310820624546115,0.025319814833329637
110,171313,0.06230802086956522,0.0008695652173913042,0.029436363164348816
110,171414,0.016683705533596837,0.0004940711462450593,0.016933342365157252
110,171616,0.03728155832147937,0.0007112375533428165,0.03733625468270878
110,1722,0.03911838146718147,0.0007722007722007724,0.037290299273006755
110,1733,0.1624963287037037,0.0023148148148148147,0.05950557850048269
110,1755,0.09897980725623584,0.001133786848072562,0.05002485140404635
110,1766,0.02706697082379863,0.0005720823798627003,0.022428736399207654
110,1777,0.013424154577883471,0.0005945303210463735,0.007207809249148718
110,1788,0.02136899101307189,0.00027233115468409583,0.01654177931567161
110,1799,-0.0033964361344537815,0.00042016806722689073,-0.0015853964232021487
110,1811,0.02766437368421053,0.0007518796992481202,0.02499806145399718
110,181111,0.03006884179104477,0.00021321961620469088,0.02845970364095648
110,181717,0.02858922430555555,0.0006944444444444446,0.026656128719227557
110,1855,0.09086232700993675,0.0009033423667570009,0.0646164480778928
110,1877,0.011841718333333332,0.00033333333333333327,0.01080381286846868
110,191010,0.016922580539549505,0.0001309586170770037,0.014821079458286443
110,1911,0.0528433725,0.0012499999999999998,0.025899765075811938
110,191111,0.030696580645161294,0.0004887585532746823,0.013385309098974245
110,191212,0.023481691141552512,0.000182648401826484,0.021853711001984844
110,191313,0.04676118602150538,0.0005376344086021505,0.023015323437579997
110,191414,0.0244175858815875,0.0003253090435914118,0.02296873621455511
110,191515,0.05206633607681755,0.0006858710562414266,0.027280759400853987
110,191616,0.016721379148936174,0.00042553191489361685,0.01599452687298028
110,191717,0.05773374858223063,0.0009451795841209832,0.02976722131363548
110,191818,0.03533526251526251,0.0006105006105006104,0.033690989440412586
110,1922,0.03042929877495463,0.00022686025408348456,0.023797313880425996
110,1933,0.04547978823529412,0.0003676470588235294,0.017450517398895523
110,1944,0.02223290333521764,0.00028264556246466923,0.020058426833862785
110,1966,0.08804027087872186,0.0007262164124909223,0.04834164356344731
110,1977,0.023282365476190472,0.0005952380952380951,0.011361817991281605
110,1988,0.007656377507469057,0.00021340162185232606,0.00733059795715537
110,1999,0.01590503100158983,0.00039745627980922096,0.00641619163658582
